Application,Name,Type,sourceLanguage,mainDirectory,subDirectory,fileName,fileExtension,JavaComments,CCType,Scope,NewProgramName,FunctionalArea,JavaClass,comments
GROUP,P7508,CBL,,DIARY,CBL,P7508,CBL,,SRC,,,DBCHDRY,,
GROUP,P7509,CBL,,DIARY,CBL,P7509,CBL,,SRC,,,DBCHDRY,,
GROUP,P7510,CBL,,DIARY,CBL,P7510,CBL,,SRC,,,DBCHDRY,,
GROUP,P7511,CBL,,DIARY,CBL,P7511,CBL,,SRC,,,DBCHDRY,,
GROUP,P7521,CBL,,DIARY,CBL,P7521,CBL,,SRC,,,DBCHDRY,,
GROUP,P7522,CBL,,DIARY,CBL,P7522,CBL,,SRC,,,DBCHDRY,,
GROUP,P7523,CBL,,DIARY,CBL,P7523,CBL,,SRC,,,DBCHDRY,,
GROUP,P7524,CBL,,DIARY,CBL,P7524,CBL,,SRC,,,DBCHDRY,,
GROUP,P7525,CBL,,DIARY,CBL,P7525,CBL,,SRC,,,DBCHDRY,,
GROUP,P7526,CBL,,DIARY,CBL,P7526,CBL,,SRC,,,DBCHDRY,,
GROUP,P7527,CBL,,DIARY,CBL,P7527,CBL,,SRC,,,DBCHDRY,,
GROUP,P7528,CBL,,DIARY,CBL,P7528,CBL,,SRC,,,DBCHDRY,,
GROUP,P7529,CBL,,DIARY,CBL,P7529,CBL,,SRC,,,DBCHDRY,,
GROUP,P7530,CBL,,DIARY,CBL,P7530,CBL,,SRC,,,DBCHDRY,,
GROUP,P7531,CBL,,DIARY,CBL,P7531,CBL,,SRC,,,DBCHDRY,,
GROUP,P7532,CBL,,DIARY,CBL,P7532,CBL,,SRC,,,DBCHDRY,,
GROUP,P7533,CBL,,DIARY,CBL,P7533,CBL,,SRC,,,DBCHDRY,,
GROUP,P7534,CBL,,DIARY,CBL,P7534,CBL,,SRC,,,DBCHDRY,,
GROUP,P7535,CBL,,DIARY,CBL,P7535,CBL,,SRC,,,DBCHDRY,,
GROUP,P7536,CBL,,DIARY,CBL,P7536,CBL,,SRC,,,DBCHDRY,,
GROUP,P7537,CBL,,DIARY,CBL,P7537,CBL,,SRC,,,DBCHDRY,,
GROUP,P7538,CBL,,DIARY,CBL,P7538,CBL,,SRC,,,DBCHDRY,,
GROUP,P7539,CBL,,DIARY,CBL,P7539,CBL,,SRC,,,DBCHDRY,,
GROUP,P7540,CBL,,DIARY,CBL,P7540,CBL,,SRC,,,DBCHDRY,,
GROUP,P7541,CBL,,DIARY,CBL,P7541,CBL,,SRC,,,DBCHDRY,,
GROUP,P7542,CBL,,DIARY,CBL,P7542,CBL,,SRC,,,DBCHDRY,,
GROUP,P7543,CBL,,DIARY,CBL,P7543,CBL,,SRC,,,DBCHDRY,,
GROUP,P7544,CBL,,DIARY,CBL,P7544,CBL,,SRC,,,DBCHDRY,,
GROUP,P7545,CBL,,DIARY,CBL,P7545,CBL,,SRC,,,DBCHDRY,,
GROUP,P7546,CBL,,DIARY,CBL,P7546,CBL,,SRC,,,DBCHDRY,,
GROUP,P7547,CBL,,DIARY,CBL,P7547,CBL,,SRC,,,DBCHDRY,,
GROUP,P7548,CBL,,DIARY,CBL,P7548,CBL,,SRC,,,DBCHDRY,,
GROUP,P7549,CBL,,DIARY,CBL,P7549,CBL,,SRC,,,DBCHDRY,,
GROUP,P7552,CBL,,DIARY,CBL,P7552,CBL,,SRC,,,DBCHDRY,,
GROUP,RDRYCNT,PRTF,,DIARY,EDDS,RDRYCNT,PRTF,,,,,DBCHDRY,,
GROUP,RDRYERR,PRTF,,DIARY,EDDS,RDRYERR,PRTF,,,,,DBCHDRY,,
GROUP,RDRYHLD,PRTF,,DIARY,EDDS,RDRYHLD,PRTF,,,,,DBCHDRY,,
GROUP,RDRYLOG,PRTF,,DIARY,EDDS,RDRYLOG,PRTF,,,,,DBCHDRY,,
GROUP,RDRYMON,PRTF,,DIARY,EDDS,RDRYMON,PRTF,,,,,DBCHDRY,,
GROUP,RDRYREC,PRTF,,DIARY,EDDS,RDRYREC,PRTF,,,,,DBCHDRY,,
GROUP,RDRYREQ,PRTF,,DIARY,EDDS,RDRYREQ,PRTF,,,,,DBCHDRY,,
GROUP,S7500,DSPF,,DIARY,EDDS,S7500,DSPF,,,,,DBCHDRY,,
GROUP,S7500SCR,CPY,,DIARY,CPY,S7500SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7501,DSPF,,DIARY,EDDS,S7501,DSPF,,,,,DBCHDRY,,
